protein	reaction	direction
Q75JN1	17989	nan
Q75JN1	46608	nan
Q54RJ4	17989	nan
Q54RJ4	46608	nan
Q54QQ0	11708	nan
Q54U72	24056	nan
Q54U72	29315	nan
Q54N49	10716	nan
C4M633	15553	nan
C4M633	10040	nan
Q86K86	15285	nan
Q54PV8	24576	nan
Q55GJ2	17989	nan
Q55GJ2	46608	nan
Q559A2	17989	nan
Q559A2	46608	nan
Q557G1	17989	nan
Q557G1	46608	nan
Q55DJ8	17989	nan
Q55DJ8	46608	nan
Q55DJ9	17989	nan
Q55DJ9	46608	nan
Q54IE8	17989	nan
Q54IE8	46608	nan
Q556Q3	17989	nan
Q556Q3	46608	nan
Q54LQ6	23996	23997
Q54LQ6	44644	44645
Q54LQ6	29399	29400
Q54LQ6	28342	28343
Q54LQ6	28610	28611
Q9XYQ1	12452	nan
Q9XYQ1	13253	nan
Q9XYQ1	20940	nan
Q54QJ9	12973	nan
Q54Y03	12973	nan
Q54Y03	13065	nan
Q54CT8	12973	nan
O96907	12973	12974
P34099	17989	nan
P34099	46608	nan
Q54KM6	65560	nan
Q54KM6	17593	nan
Q54KM6	18121	nan
Q556Y4	17989	nan
Q556Y4	46608	nan
P20425	11600	nan
P20425	25094	nan
P20425	24400	nan
Q556J2	22640	22642
Q54XF2	20780	nan
Q86AG7	17065	nan
Q23915	17989	nan
Q23915	46608	nan
Q54H05	17989	nan
Q54H05	46608	nan
Q27564	19129	nan
Q54RE8	20545	nan
Q54RF5	18157	nan
P54644	17989	nan
P54644	46608	nan
Q54GN2	13517	nan
Q54MA9	13065	nan
Q54GY6	17989	nan
Q54GY6	46608	nan
Q54C71	17989	nan
Q54C71	46608	nan
Q54Q04	16813	nan
Q54Q04	25143	nan
Q55GI5	21252	nan
Q54UF7	16369	nan
Q54L00	17989	nan
Q54L00	46608	nan
P0CD62	17989	nan
P0CD62	46608	nan
P52922	19037	nan
Q54YN2	14817	nan
Q6TU48	18253	nan
Q6TU48	15641	nan
Q8T2K9	18181	nan
Q54KE6	13589	nan
Q8T2J9	13589	nan
Q553V2	20553	20555
Q24849	13065	nan
Q54CP4	13065	13066
Q86B14	13065	13066
Q54GE6	21432	nan
Q54D04	21432	nan
Q54VM2	21432	nan
Q54YT4	22564	nan
Q554C9	52808	nan
Q55DL2	19369	19370
Q54X49	21196	nan
Q54P92	11172	nan
Q95032	21080	nan
O09486	21080	nan
Q54F07	21080	nan
Q9NKW1	22432	nan
Q54XZ0	26526	nan
Q54GA9	16437	nan
P42527	11424	11425
P90648	11424	11425
Q8MY12	11424	11425
Q54SF9	11424	nan
Q54ND5	16989	16990
Q54ND5	77115	77116
Q54ND5	77119	77120
Q54ND5	77131	77132
Q54ND5	77135	77136
Q54ND5	27381	27382
Q54GH4	23696	nan
Q54MY9	17989	nan
Q54MY9	46608	nan
Q9NGW9	17989	nan
Q9NGW9	46608	nan
Q54JQ1	17989	nan
Q54JQ1	46608	nan
Q8SSV3	17989	nan
Q8SSV3	46608	nan
Q54TN4	17989	nan
Q54TN4	46608	nan
Q55CE0	17989	nan
Q55CE0	46608	nan
Q54R82	17989	nan
Q54R82	46608	nan
Q54I10	20804	20805
Q54I10	76615	76616
Q86HF4	26333	nan
Q559G8	42636	nan
Q54NM6	49576	nan
Q54NM6	49580	nan
Q55CL6	17989	nan
Q55CL6	46608	nan
Q55CL6	10596	nan
Q54QM6	10684	nan
Q54PA0	12356	nan
Q55CS7	10684	nan
Q55CS7	20629	nan
Q55CS7	47004	nan
Q55CS8	10684	nan
Q55CS8	20629	nan
Q55CS8	47004	nan
Q54Y32	10684	nan
Q54Y32	20629	nan
Q54Y32	47004	nan
Q54UL8	17989	nan
Q54UL8	46608	nan
Q54DF2	17989	nan
Q54DF2	46608	nan
Q54MV2	17989	nan
Q54MV2	46608	nan
Q54TA3	17989	nan
Q54TA3	46608	nan
Q76NT0	54152	nan
Q86AH1	54152	nan
Q55D52	55220	nan
Q55D54	55220	nan
Q551H3	14217	nan
Q551H3	19993	nan
Q86KU6	22892	nan
Q54NY7	15549	nan
Q54ER6	24504	nan
Q54ER6	14161	nan
D3BH90	24504	nan
D3BH90	14161	nan
Q54WR1	67020	nan
Q54I63	47040	nan
Q54YQ9	23732	nan
P25323	22004	22005
P25323	53900	53901
Q86AD7	22004	nan
Q86AD7	53900	nan
Q54SJ5	22004	nan
Q54SJ5	53900	nan
Q54CY9	22004	nan
Q54CY9	53900	nan
Q54PB4	22004	nan
Q54PB4	53900	nan
Q54W86	22004	nan
Q54W86	53900	nan
Q869W6	22004	nan
Q869W6	53900	nan
Q75JX0	12733	nan
Q54ML1	24384	nan
Q54PM7	17417	nan
Q55EJ3	51424	nan
Q55EJ3	53876	nan
Q54NC1	46680	nan
Q55CT1	24040	nan
Q54BK2	20856	nan
Q55G11	20856	nan
Q55CD9	29091	nan
P22887	44640	nan
P22887	18113	nan
P34093	44640	nan
P34093	18113	nan
Q54JL0	67716	67717
Q54Y26	17989	nan
Q54Y26	46608	nan
Q54IH8	17989	nan
Q54IH8	46608	nan
Q54P47	17989	nan
Q54P47	46608	nan
Q54HD2	17989	nan
Q54HD2	46608	nan
Q54S83	48108	nan
Q37373	29091	nan
Q2LCP5	29091	nan
Q34312	29091	nan
Q37384	29091	nan
Q2LCR5	29091	nan
Q23883	29091	nan
Q37383	29091	nan
Q2LCR4	29091	nan
P22237	29091	nan
Q54I90	29091	nan
Q54F10	29091	nan
Q54QD5	17989	nan
Q54QD5	46608	nan
Q55BN8	17989	nan
Q55BN8	46608	nan
Q86I06	17989	nan
Q86I06	46608	nan
Q54X04	43892	nan
Q557J5	54532	nan
Q553B6	15521	nan
Q54FJ9	19017	nan
Q54FJ9	32231	nan
C4LZV8	19017	nan
C4LZV8	32231	nan
D3BMU4	19017	nan
D3BMU4	32231	nan
Q55CV0	32215	nan
Q55CV0	32227	nan
C4M2B8	32215	nan
C4M2B8	32227	nan
Q54K96	42032	nan
Q54L85	34771	nan
Q54L85	34775	nan
Q75JI3	13065	nan
Q55DH6	54712	nan
Q55DH6	54724	nan
Q55DH6	54736	nan
Q54TC5	58744	nan
Q55G28	23996	nan
Q55G28	44644	nan
Q37381	29091	nan
Q2LCR1	29091	nan
Q37313	29091	nan
Q37376	29091	nan
Q2LCP8	29091	nan
O21048	29091	nan
Q37382	29091	nan
Q2LCR0	29091	nan
Q37312	29091	nan
Q37379	29091	nan
P0C5X9	29091	nan
Q9XK79	29091	nan
Q37375	29091	nan
Q2LCP7	29091	nan
O21047	29091	nan
Q37372	29091	nan
Q2LCP6	29091	nan
Q34313	29091	nan
Q37371	29091	nan
Q2LCR2	29091	nan
Q37314	29091	nan
Q54JP5	13877	nan
Q54M22	13457	nan
Q55FN7	13457	13458
Q55GE2	71739	nan
Q55GE2	71743	nan
Q55GE2	71747	nan
Q55GE2	71751	nan
Q55GE2	71755	nan
Q55GE2	71759	nan
Q55GE2	71763	nan
Q54JE4	12188	nan
Q869Y7	15213	nan
P36413	17017	nan
Q54C70	19189	nan
Q86HX0	19189	nan
Q54FP4	48396	nan
Q54B59	26321	nan
Q86HS9	48396	nan
Q86I40	48396	nan
Q54S95	48396	nan
Q54GZ0	48396	nan
Q54NW6	10348	nan
Q55GU1	37059	nan
Q556W1	21816	21817
Q556W1	70951	70952
Q556W1	70963	70964
Q556W1	22688	22689
Q556W1	78219	78220
Q556W1	78207	78208
Q556W1	78255	78256
Q556W1	78211	78212
Q556W1	37583	37584
Q556W1	78259	78260
Q556W1	78203	78204
Q556W1	78227	78228
Q86KR9	48936	nan
Q54IL7	14109	nan
Q54IL7	14105	nan
Q55E34	14109	nan
Q55E34	14105	nan
P0DPA0	16065	nan
Q55D99	17989	nan
Q55D99	46608	nan
Q869N2	17989	nan
Q869N2	46608	nan
Q55GV3	17989	nan
Q55GV3	46608	nan
Q55DD4	17989	nan
Q55DD4	46608	nan
Q54B33	17989	nan
Q54B33	46608	nan
Q869T7	17989	nan
Q869T7	46608	nan
Q54RV3	17989	nan
Q54RV3	46608	nan
Q556S2	17989	nan
Q556S2	46608	nan
Q54I80	10912	nan
Q54J73	11332	nan
Q51D88	11332	nan
Q55E58	17989	nan
Q55E58	46608	nan
Q75JD5	18617	nan
Q869Z4	10388	10389
Q55BZ4	24592	24593
P12019	25277	nan
P12019	16957	nan
Q23917	25277	nan
B0G0Y8	16957	16958
Q86H13	25277	25278
Q8MLZ3	16957	16958
Q8MM62	25277	25278
Q8MM62	16957	nan
Q54HY0	25277	25278
Q54HY0	16957	16958
Q54TW2	17989	nan
Q54TW2	46608	nan
Q54PK9	17989	nan
Q54PK9	46608	nan
Q54J47	31507	nan
Q54J48	31507	nan
Q54J48	15889	nan
Q55EK9	10224	10225
C4LY96	22356	nan
C4M1E4	22356	nan
C4LWQ8	22356	nan
Q54SD5	32735	nan
Q54SD5	32739	nan
Q54SD5	11164	nan
Q54H80	32735	nan
Q54H80	32739	nan
Q54H80	11164	nan
Q55E60	76407	nan
Q54GX5	13065	13066
Q54CS8	13065	13066
P90521	16109	nan
Q27651	16109	nan
C4LZC2	13613	nan
Q9NGP6	13613	nan
Q54NE6	15901	nan
Q54NE6	17765	nan
Q54QG0	53432	nan
Q54QG0	50664	nan
Q54KX5	11068	nan
Q9GPM4	14801	nan
Q23919	23536	nan
Q54UQ2	23536	nan
Q54UQ2	68748	nan
Q54UQ2	68752	nan
O18719	23536	nan
O15820	23536	nan
Q7KWX2	12593	nan
Q55DQ4	21240	nan
Q55DA3	21240	nan
B0G172	21240	nan
Q54XS1	20273	20274
