Primary_ID	ChEBI Name
CHEBI:15350	acetyl dihydrogen phosphate
CHEBI:15351	acetyl-CoA
CHEBI:15352	1-O-acetyl-beta-maltose
CHEBI:15353	blasticidin S
CHEBI:15354	choline
CHEBI:15355	acetylcholine
CHEBI:15356	cysteine
CHEBI:15357	acetylenedicarboxylate(2-)
CHEBI:15360	acetylpyruvate
CHEBI:15361	pyruvate
CHEBI:15362	hydroxyacetone phosphate
CHEBI:15363	N-acetylindoxyl
CHEBI:15364	propynoate
CHEBI:15365	acetylsalicylic acid
CHEBI:15366	acetic acid
CHEBI:15367	all-trans-retinoic acid
CHEBI:15368	acrolein
CHEBI:15371	3-oxopristanoyl-CoA
CHEBI:15372	5,6,7,8-tetrahydrobiopterin
CHEBI:15373	biopterin
CHEBI:15374	4a-hydroxytetrahydrobiopterin
CHEBI:15375	D-erythro-7,8-dihydrobiopterin
CHEBI:15376	(2Z,4E)-5-hydroxypenta-2,4-diene-1,2,5-tricarboxylate(3-)
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:15380	succinyl-CoA
CHEBI:15382	(4R)-limonene
CHEBI:15383	(4S)-limonene
CHEBI:15384	limonene
CHEBI:15385	(+)-delta-cadinene
CHEBI:15386	(3S,4R)-3,4-dihydrophenanthrene-3,4-diol
CHEBI:15387	(+)-cis-sabinol
CHEBI:15388	(+)-trans-carveol
CHEBI:15389	(-)-trans-carveol
CHEBI:15390	(+)-bisdechlorogeodin
CHEBI:15391	(-)-bisdechlorogeodin
CHEBI:15392	(1R)-bornane-2,5-dione
CHEBI:15393	(+)-borneol
CHEBI:15394	(-)-borneol
CHEBI:15395	(+)-bornyl diphosphate
CHEBI:15396	(R)-camphor
CHEBI:15397	(S)-camphor
CHEBI:15398	(+)-exo-5-hydroxycamphor
CHEBI:15399	(+)-carvone
CHEBI:15400	(-)-carvone
CHEBI:15401	(+)-dihydrokaempferol
CHEBI:15402	(+)-neomenthol
CHEBI:15403	(+)-sabinone
CHEBI:15404	(-)-homoisocitrate(3-)
CHEBI:15405	(-)-endo-fenchol
CHEBI:15406	(-)-trans-isopiperitenol
CHEBI:15407	(-)-ephedrine
CHEBI:15408	(-)-isopiperitenone
CHEBI:15409	(-)-menthol
CHEBI:15410	(-)-menthone
CHEBI:15411	(-)-menthyl beta-D-glucoside
CHEBI:15412	(-)-ureidoglycolic acid
CHEBI:15413	2',4,4',6'-tetrahydroxychalcone
CHEBI:15414	S-adenosyl-L-methionine
CHEBI:15415	ent-kaurene
CHEBI:15416	ent-kaur-16-en-19-ol
CHEBI:15417	ent-kaur-16-en-19-oic acid
CHEBI:15418	ent-kaur-16-en-19-al
CHEBI:15419	ent-7alpha-hydroxykaur-16-en-19-oic acid
CHEBI:15420	perillyl alcohol
CHEBI:15421	perillyl aldehyde
CHEBI:15422	ATP
CHEBI:15423	clavaminic acid
CHEBI:15424	dihydroclavaminic acid
CHEBI:15425	proclavaminic acid
CHEBI:15426	deoxyamidinoproclavaminic acid
CHEBI:15427	N(2)-(2-carboxyethyl)-L-arginine
CHEBI:15428	glycine
CHEBI:15429	hydroxylamine
CHEBI:15430	protoporphyrin
CHEBI:15431	magnesium protoporphyrin
CHEBI:15432	magnesium protoporphyrin 13-monomethyl ester
CHEBI:15433	magnesium 13(1)-oxoprotoporphyrin 13-monomethyl ester
CHEBI:15434	magnesium 13(1)-hydroxyprotoporphyrin 13-monomethyl ester
CHEBI:15435	protoporphyrinogen
CHEBI:15436	uroporphyrin III
CHEBI:15437	uroporphyrinogen III
CHEBI:15439	coproporphyrinogen III
CHEBI:15440	squalene
CHEBI:15441	(S)-2,3-epoxysqualene
CHEBI:15442	presqualene diphosphate
CHEBI:15444	(1->4)-alpha-D-glucan
CHEBI:15446	[(1->4)-alpha-D-galacturonosyl]n
CHEBI:15447	(1->4)-beta-D-xylan
CHEBI:15448	(1-hydroxycyclohexyl)acetyl-CoA
CHEBI:15449	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA
CHEBI:15450	(2R)-2-methylacyl-CoA
CHEBI:15451	(2S)-2-methylacyl-CoA
CHEBI:15452	(R)-3-hydroxybutanoyl-CoA
CHEBI:15453	(S)-3-hydroxybutanoyl-CoA
CHEBI:15454	(3S)-3-carboxy-3-hydroxypropanoyl-CoA
CHEBI:15455	(S)-3-hydroxyacyl-CoA
CHEBI:15456	(R)-3-hydroxyacyl-CoA
CHEBI:15457	citramalyl-CoA
CHEBI:15459	(3S)-citryl-CoA
CHEBI:15460	trans-tetradec-11-enoyl-CoA
CHEBI:15461	cis-tetradec-11-enoyl-CoA
CHEBI:15463	cinnamoyl-CoA
CHEBI:15464	(E,E)-piperonyl-CoA
CHEBI:15465	(R)-methylmalonyl-CoA
CHEBI:15466	(S)-methylmalonyl-CoA
CHEBI:15467	(3S)-3-hydroxy-3-methylglutaryl-CoA
CHEBI:15468	3'-dephospho-CoA
CHEBI:15469	alk-2-enoyl-CoA
CHEBI:15470	2,4-dichlorobenzoyl-CoA
CHEBI:15471	trans-dodec-2-enoyl-CoA
CHEBI:15472	anthraniloyl-CoA
CHEBI:15473	crotonoyl-CoA
CHEBI:15474	2-furoyl-CoA
CHEBI:15475	2-hydroxyphytanoyl-CoA
CHEBI:15476	2-methylacetoacetyl-CoA
CHEBI:15477	2-methylbutanoyl-CoA
CHEBI:15478	2-methylcrotonoyl-CoA
CHEBI:15479	isobutyryl-CoA
CHEBI:15480	3-(4-methylpent-3-en-1-yl)pent-2-enedioyl-CoA
CHEBI:15481	3-hydroxy-2-methylpropanoyl-CoA
CHEBI:15482	3-hydroxy-3-(3-hydroxy-4-methoxyphenyl)propanoyl-CoA
CHEBI:15483	3-hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA
CHEBI:15484	3-hydroxybenzoyl-CoA
CHEBI:15485	3-hydroxypimeloyl-CoA
CHEBI:15486	3-methylbut-2-enoyl-CoA
CHEBI:15487	isovaleryl-CoA
CHEBI:15488	trans-3-methylglutaconyl-CoA
CHEBI:15489	3-oxo-fatty acyl-CoA
CHEBI:15490	3-oxoadipyl-CoA
CHEBI:15491	3-oxopalmitoyl-CoA
CHEBI:15492	3-oxopimeloyl-CoA
CHEBI:15493	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA
CHEBI:15494	3alpha,7alpha-dihydroxy-5beta-cholestan-26-oyl-CoA
CHEBI:15495	4,8,12-trimethyltridecanoyl-CoA
CHEBI:15496	4-aminobutanoyl-CoA
CHEBI:15497	trans-4-carboxybut-2-enoyl-CoA
CHEBI:15498	4-chlorobenzoyl-CoA
CHEBI:15499	4-coumaroyl-CoA
CHEBI:15500	4-hydroxybenzoyl-CoA
CHEBI:15501	5-hydroxypentanoyl-CoA
CHEBI:15502	5-hydroxythiophene-2-carbonyl-CoA
CHEBI:15503	2,3-didehydropimeloyl-CoA
CHEBI:15504	pimeloyl-CoA
CHEBI:15505	6-hydroxycyclohex-1-ene-1-carbonyl-CoA
CHEBI:15506	7-methyl-3-oxooctanoyl-CoA
CHEBI:15507	beta-alanyl-CoA
CHEBI:15508	gamma-linolenoyl-CoA
CHEBI:15509	4-(2-carboxyphenyl)-4-oxobutanoyl-CoA
CHEBI:15510	5-hydroxy-2-furoyl-CoA
CHEBI:15511	trans-feruloyl-CoA
CHEBI:15512	L-3-aminobutanoyl-CoA
CHEBI:15513	acryloyl-CoA
CHEBI:15514	arachidonoyl-CoA
CHEBI:15515	benzoyl-CoA
CHEBI:15516	biotinyl-CoA
CHEBI:15517	butyryl-CoA
CHEBI:15518	caffeoyl-CoA
CHEBI:15519	choloyl-CoA
CHEBI:15520	cyclohexa-1,5-diene-1-carbonyl-CoA
CHEBI:15521	lauroyl-CoA
CHEBI:15522	formyl-CoA
CHEBI:15523	cis-geranoyl-CoA
CHEBI:15524	glutaryl-CoA
CHEBI:15525	palmitoyl-CoA
CHEBI:15527	icosanoyl-CoA
CHEBI:15528	itaconyl-CoA
CHEBI:15529	lactoyl-CoA
CHEBI:15530	linoleoyl-CoA
CHEBI:15531	malonyl-CoA
CHEBI:15532	myristoyl-CoA
CHEBI:15533	octanoyl-CoA
CHEBI:15534	oleoyl-CoA
CHEBI:15535	oxalyl-CoA
CHEBI:15536	pentanoyl-CoA
CHEBI:15537	phenylacetyl-CoA
CHEBI:15538	phytanoyl-CoA
CHEBI:15539	propionyl-CoA
CHEBI:15540	sinapoyl-CoA
CHEBI:15541	stearoyl-CoA
CHEBI:15542	thiophene-2-carbonyl-CoA
CHEBI:15543	vinylacetyl-CoA
CHEBI:15544	prostaglandin E1
CHEBI:15545	prostaglandin A1
CHEBI:15546	prostaglandin C1
CHEBI:15547	15-dehydro-prostaglandin E2
CHEBI:15548	15-dehydro-prostaglandin E1
CHEBI:15550	13,14-dihydro-15-oxo-prostaglandin E2
CHEBI:15551	prostaglandin E2
CHEBI:15552	prostaglandin I2
CHEBI:15553	prostaglandin F2alpha
CHEBI:15554	prostaglandin H2
CHEBI:15555	prostaglandin D2
CHEBI:15556	15-dehydro-prostaglandin I2
CHEBI:15557	15-dehydro-prostaglandin D2
CHEBI:15558	15(S)-HETE
CHEBI:15559	15-oxo-ETE
CHEBI:15560	(15Z)-12-oxophyto-10,15-dienoic acid
CHEBI:15562	D-threo-isocitrate(3-)
CHEBI:15563	D-erythro-isocitrate(3-)
CHEBI:15564	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylic acid
CHEBI:15565	(1S,2R)-3-methylcyclohexa-3,5-diene-1,2-diol
CHEBI:15566	(1S,3R,4S)-3,4-dihydroxycyclohexane-1-carboxylic acid
CHEBI:15567	(1S,4S)-4-hydroxy-3-oxocyclohexane-1-carboxylic acid
CHEBI:15568	(R)-2-halocarboxylic acid
CHEBI:15569	N-(carboxyaminomethyl)urea
CHEBI:15570	D-alanine
CHEBI:15571	hydrazine
CHEBI:15572	2,3-dihydroxybenzoyl 5'-adenylate
CHEBI:15573	(2-aminoethyl)phosphonic acid
CHEBI:15574	nuatigenin
CHEBI:15575	nuatigenin 3-beta-D-glucopyranoside
CHEBI:15576	(24R)-24-methylcycloart-25-en-3beta-ol
CHEBI:15577	(3beta,24R,24'R)-fucosterol epoxide
CHEBI:15578	(25S)-5beta-spirostan-3beta-ol
