CHEBI	BIGG
chebi:40562	aps
chebi:58243	aps
chebi:15296	uri
chebi:16704	uri
chebi:27227	uri
chebi:46386	uri
chebi:46391	uri
chebi:46460	uri
chebi:9893	uri
chebi:10269	r1p
chebi:12329	r1p
chebi:12330	r1p
chebi:16300	r1p
chebi:21081	r1p
chebi:22412	r1p
chebi:35425	r1p
chebi:4236	r1p
chebi:45429	r1p
chebi:45482	r1p
chebi:57720	r1p
chebi:13327	gdp
chebi:14379	gdp
chebi:17552	gdp
chebi:24448	gdp
chebi:42738	gdp
chebi:5212	gdp
chebi:58189	gdp
chebi:65180	gdp
chebi:14103	dnad
chebi:14104	dnad
chebi:14105	dnad
chebi:18304	dnad
chebi:23567	dnad
chebi:4340	dnad
chebi:58437	dnad
chebi:13274	cmp
chebi:17361	cmp
chebi:23520	cmp
chebi:3275	cmp
chebi:41312	cmp
chebi:41319	cmp
chebi:41666	cmp
chebi:41691	cmp
chebi:47362	cmp
chebi:48799	cmp
chebi:58120	cmp
chebi:60377	cmp
chebi:63803	CE2038
chebi:77293	CE2038
chebi:12061	dad_5
chebi:17319	dad_5
chebi:1960	dad_5
chebi:20493	dad_5
chebi:40099	dad_5
chebi:50577	3hodcoa
chebi:87561	3hodcoa
chebi:140726	adsel
chebi:2485	adsel
chebi:10906	ametam
chebi:12743	ametam
chebi:12762	ametam
chebi:15625	ametam
chebi:22035	ametam
chebi:57443	ametam
chebi:8947	ametam
chebi:10487	bdg2hc
chebi:62223	bdg2hc
chebi:62251	bdg2hc
chebi:14456	ins
chebi:17596	ins
chebi:24841	ins
chebi:44407	ins
chebi:5927	ins
chebi:10700	frdp
chebi:11488	frdp
chebi:11491	frdp
chebi:12854	frdp
chebi:12874	frdp
chebi:14231	frdp
chebi:17407	frdp
chebi:175763	frdp
chebi:19789	frdp
chebi:24016	frdp
chebi:42496	frdp
chebi:50277	frdp
chebi:89268	CE2183
chebi:166785	M01461
chebi:88774	M01461
chebi:1354	3padsel
chebi:140698	3padsel
chebi:19856	3padsel
chebi:28450	3padsel
chebi:12102	aicar
chebi:18406	aicar
chebi:18966	aicar
chebi:40739	aicar
chebi:573	aicar
chebi:58475	aicar
chebi:52328	CE2250
chebi:71451	CE2250
chebi:52329	CE2253
chebi:73977	CE2253
chebi:136975	CE2186
chebi:172124	CE1278
chebi:48834	M01082
chebi:14375	gsn
chebi:16750	gsn
chebi:24444	gsn
chebi:42840	gsn
chebi:42847	gsn
chebi:471737	gsn
chebi:5564	gsn
chebi:12767	5mdr1p
chebi:12769	5mdr1p
chebi:12770	5mdr1p
chebi:20614	5mdr1p
chebi:20616	5mdr1p
chebi:2102	5mdr1p
chebi:27859	5mdr1p
chebi:30309	5mdr1p
chebi:30310	5mdr1p
chebi:58533	5mdr1p
chebi:13374	itp
chebi:16039	itp
chebi:19272	itp
chebi:43508	itp
chebi:57614	itp
chebi:5851	itp
chebi:61402	itp
chebi:62840	1ddecg3p
chebi:72682	1ddecg3p
chebi:1566	HC01440
chebi:20095	HC01440
chebi:27453	HC01440
chebi:142453	HC01672
chebi:1951	HC01672
chebi:2405	HC01672
chebi:37666	HC01672
chebi:10888	3mop
chebi:11049	3mop
chebi:15614	3mop
chebi:1585	3mop
chebi:18567	3mop
chebi:18568	3mop
chebi:18755	3mop
chebi:20116	3mop
chebi:213	3mop
chebi:28654	3mop
chebi:35146	3mop
chebi:35932	3mop
chebi:401	3mop
chebi:10430	starch
chebi:22847	starch
chebi:28560	starch
chebi:13257	cdpea
chebi:13270	cdpea
chebi:16732	cdpea
chebi:20869	cdpea
chebi:3270	cdpea
chebi:57876	cdpea
chebi:13735	pap
chebi:17985	pap
chebi:22240	pap
chebi:2475	pap
chebi:58343	pap
chebi:74102	M01466
chebi:147307	cmp2amep
chebi:3276	cmp2amep
chebi:3281	cmpntm2amep
chebi:21092	CE3075
chebi:15100	sph1p
chebi:16893	sph1p
chebi:23767	sph1p
chebi:57939	sph1p
chebi:9222	sph1p
chebi:21951	c10crn
chebi:28717	c10crn
chebi:68830	c10crn
chebi:7681	c10crn
chebi:13342	gtp
chebi:15996	gtp
chebi:24451	gtp
chebi:37565	gtp
chebi:42934	gtp
chebi:5234	gtp
chebi:57600	gtp
chebi:177679	CE4754
chebi:14699	orot5p
chebi:15842	orot5p
chebi:25723	orot5p
chebi:57538	orot5p
